slug,player_name,entry_year,made_nba,aw,p_nba,e_aw_given_nba,ev_added_wins,aw_floor,aw_ceiling,p_high_pro,intl_tier,proj_tier,tier_probs,aw_drivers
jason-praet,Jason Praet,2008.0,0,,0.0,4.16,0.0,-2.97,11.29,0.0044,,Role Player,"{""Superstar"": 0.0, ""All-Star"": 1.3, ""Starter"": 13.7, ""Role Player"": 42.0, ""Replacement"": 8.3, ""Negative"": 34.7}",cffr_reliability(+); college_stl_pct(+); college_ftr(-)
deandrae-ross,DeAndrae Ross,2011.0,0,,0.0003,-0.62,-0.0,-7.75,6.51,0.0104,,Negative,"{""Superstar"": 0.0, ""All-Star"": 0.4, ""Starter"": 6.5, ""Role Player"": 32.3, ""Replacement"": 8.5, ""Negative"": 52.3}",BPM per Age(-); cffr_reliability(+); traj_bpm_slope(+)
pooh-williams,Pooh Williams,2011.0,0,,0.0117,-3.02,-0.04,-10.15,4.11,0.0724,,Negative,"{""Superstar"": 0.0, ""All-Star"": 0.2, ""Starter"": 4.1, ""Role Player"": 26.4, ""Replacement"": 8.0, ""Negative"": 61.2}",BPM (age-adj)(-); Def Rebounds(-); college_stl_pct(-)
mohamed-tangara,Mohamed Tangara,2008.0,0,,0.0009,3.04,0.0,-4.09,10.17,0.0178,,Role Player,"{""Superstar"": 0.0, ""All-Star"": 1.0, ""Starter"": 11.7, ""Role Player"": 40.1, ""Replacement"": 8.5, ""Negative"": 38.7}",cffr_reliability(+); college_stl_pct(-); Min_per(+)
jesus-verdejo,Jesus Verdejo,2009.0,0,,0.013,1.8,0.02,-5.33,8.93,0.0427,,Replacement,"{""Superstar"": 0.0, ""All-Star"": 0.7, ""Starter"": 9.7, ""Role Player"": 37.7, ""Replacement"": 8.6, ""Negative"": 43.2}",traj_ortg_slope(+); traj_ts_slope(+); pctl_drb(-)
daniel-dillon,Daniel Dillon,2008.0,0,,0.0034,2.38,0.01,-4.75,9.51,0.0142,Top European Liga,Role Player,"{""Superstar"": 0.0, ""All-Star"": 0.8, ""Starter"": 10.6, ""Role Player"": 38.9, ""Replacement"": 8.6, ""Negative"": 41.1}",Usage (age-adj)(-); role_connector(+); college_seasons_played(+)
jawann-mcclellan,Jawann McClellan,2008.0,0,,0.045,2.44,0.11,-4.69,9.57,0.0907,,Role Player,"{""Superstar"": 0.0, ""All-Star"": 0.8, ""Starter"": 10.7, ""Role Player"": 39.0, ""Replacement"": 8.6, ""Negative"": 40.9}",Usage (age-adj)(-); college_seasons_played(+); pctl_drb(-)
mike-hornbuckle,Mike Hornbuckle,2009.0,0,,0.0023,1.97,0.0,-5.16,9.1,0.0062,,Replacement,"{""Superstar"": 0.0, ""All-Star"": 0.8, ""Starter"": 9.9, ""Role Player"": 38.0, ""Replacement"": 8.6, ""Negative"": 42.6}",traj_efg_slope(-); Usage (age-adj)(-); traj_ts_slope(-)
anthony-brown-oklahoma-st-09,Anthony Brown,2009.0,0,,0.0082,3.4,0.03,-3.73,10.53,0.0263,EuroLeague,Role Player,"{""Superstar"": 0.0, ""All-Star"": 1.1, ""Starter"": 12.3, ""Role Player"": 40.7, ""Replacement"": 8.5, ""Negative"": 37.4}",traj_ortg_slope(+); traj_bpm_slope(+); college_ftr(+)
peyton-stovall,Peyton Stovall,2008.0,0,,0.0163,4.77,0.08,-2.36,11.9,0.1059,,Role Player,"{""Superstar"": 0.0, ""All-Star"": 1.5, ""Starter"": 14.9, ""Role Player"": 42.8, ""Replacement"": 8.2, ""Negative"": 32.6}",college_seasons_played(+); pos_wing(-); pctl_ast(-)
nick-rodgers,Nick Rodgers,2010.0,0,,0.0001,-2.16,-0.0,-9.29,4.97,0.0009,,Negative,"{""Superstar"": 0.0, ""All-Star"": 0.2, ""Starter"": 4.9, ""Role Player"": 28.5, ""Replacement"": 8.3, ""Negative"": 58.1}",cffr_reliability(+); BPM (age-adj)(-); traj_ortg_slope(-)
jamont-gordon,Jamont Gordon,2008.0,0,,0.4684,6.47,3.03,-0.66,13.61,0.6689,Top European Liga,Role Player,"{""Superstar"": 0.1, ""All-Star"": 2.2, ""Starter"": 18.4, ""Role Player"": 44.6, ""Replacement"": 7.6, ""Negative"": 27.0}",pos_playmaker(+); college_seasons_played(+); pos_wing(+)
