SEASON,combine_player_id,combine_first_name,combine_last_name,combine_player_name,combine_position,combine_hgt_no_shoes,HEIGHT_WO_SHOES_FT_IN,combine_hgt,HEIGHT_W_SHOES_FT_IN,combine_wgt,combine_wngspn,WINGSPAN_FT_IN,combine_stndrch,STANDING_REACH_FT_IN,combine_bf,combine_handl,combine_handw,combine_stndvert,combine_lpvert,combine_lane,combine_mod_lane,combine_sprint,combine_bench,draft_year,SPOT_FIFTEEN_CORNER_LEFT,SPOT_FIFTEEN_BREAK_LEFT,SPOT_FIFTEEN_TOP_KEY,SPOT_FIFTEEN_BREAK_RIGHT,SPOT_FIFTEEN_CORNER_RIGHT,SPOT_COLLEGE_CORNER_LEFT,SPOT_COLLEGE_BREAK_LEFT,SPOT_COLLEGE_TOP_KEY,SPOT_COLLEGE_BREAK_RIGHT,SPOT_COLLEGE_CORNER_RIGHT,SPOT_NBA_CORNER_LEFT,SPOT_NBA_BREAK_LEFT,SPOT_NBA_TOP_KEY,SPOT_NBA_BREAK_RIGHT,SPOT_NBA_CORNER_RIGHT,OFF_DRIB_FIFTEEN_BREAK_LEFT,OFF_DRIB_FIFTEEN_TOP_KEY,OFF_DRIB_FIFTEEN_BREAK_RIGHT,OFF_DRIB_COLLEGE_BREAK_LEFT,OFF_DRIB_COLLEGE_TOP_KEY,OFF_DRIB_COLLEGE_BREAK_RIGHT,ON_MOVE_FIFTEEN,ON_MOVE_COLLEGE,combine_wingspan_delta,combine_reach_ratio
2000,2124,Malik,Allen,Malik Allen,PF-C,80.25,6' 8.25'',,,271,86.5,7' 2.5'',109.0,9' 1'',,,,25.5,29.0,11.83,,3.38,13.0,2000,,,,,,,,,,,,,,,,,,,,,,,,6.25,1.3583
2000,12019,Harold,Arceneaux,Harold Arceneaux,SG-SF,76.5,6' 4.5'',,,219,80.5,6' 8.5'',103.0,8' 7'',,,,,29.0,13.8,,,0.0,2000,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.3464
2000,12020,Lamont,Barnes,Lamont Barnes,PF-C,80.5,6' 8.5'',,,235.5,87.5,7' 3.5'',108.0,9' 0'',,,,28.0,29.5,12.3,,3.4,10.0,2000,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.3416
2000,12131,Mario,Bland,Mario Bland,PF,77.5,6' 5.5'',,,287,84.0,7' 0'',103.0,8' 7'',,,,27.0,31.0,13.04,,3.47,15.0,2000,,,,,,,,,,,,,,,,,,,,,,,,6.5,1.329
2000,2056,Primoz,Brezec,Primoz Brezec,C,84.75,7' 0.75'',,,243,86.0,7' 2'',110.0,9' 2'',,,,26.0,29.5,11.53,,3.55,,2000,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.2979
2000,2081,Ernest,Brown,Ernest Brown,C,82.0,6' 10'',,,222.5,85.25,7' 1.25'',109.5,9' 1.5'',,,,,,,,,2.0,2000,,,,,,,,,,,,,,,,,,,,,,,,3.25,1.3354
2000,2049,Speedy,Claxton,Speedy Claxton,PG,70.5,5' 10.5'',,,166,72.0,6' 0'',94.5,7' 10.5'',,,,36.0,42.5,10.48,,3.06,6.0,2000,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.3404
2000,12132,Eric,Coley,Eric Coley,SG-SF,76.0,6' 4'',,,205,83.0,6' 11'',102.0,8' 6'',,,,35.0,38.0,11.4,,3.15,10.0,2000,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.3421
2000,12133,Ed,Cota,Ed Cota,PG,72.25,6' 0.25'',,,189,76.0,6' 4'',96.5,8' 0.5'',,,,26.5,33.5,10.98,,3.24,1.0,2000,,,,,,,,,,,,,,,,,,,,,,,,3.75,1.3356
2000,12134,Schea,Cotton,Schea Cotton,SF,76.25,6' 4.25'',,,219.5,79.0,6' 7'',100.0,8' 4'',,,,34.0,38.0,11.55,,3.0,19.0,2000,,,,,,,,,,,,,,,,,,,,,,,,2.75,1.3115
