PLAYER_ID,PLAYER_NAME,peak_wa,peak_wa_rate,career_min,peak_start_year,peak_end_year,n_seasons,method,player_name_clean
2544,LeBron James,77.369,25.79,25173.0,2008,2010,8,blend,lebron james
201142,Kevin Durant,71.25,23.75,23289.0,2012,2015,8,blend,kevin durant
1495,Tim Duncan,69.847,23.282,22466.0,2000,2002,8,blend,tim duncan
203999,Nikola Jokić,68.377,22.792,19050.0,2021,2023,8,blend,nikola jokić
708,Kevin Garnett,66.387,22.129,24166.0,2001,2003,8,blend,kevin garnett
406,Shaquille O'Neal,65.391,21.797,19328.0,1999,2001,8,blend,shaquille o'neal
203507,Giannis Antetokounmpo,63.313,21.104,17987.0,2018,2020,8,blend,giannis antetokounmpo
252,Karl Malone,62.762,20.921,21048.0,1996,1998,8,blend,karl malone
1628983,Shai Gilgeous-Alexander,59.579,19.86,15288.0,2022,2024,7,blend,shai gilgeous-alexander
201939,Stephen Curry,57.965,19.322,18606.0,2013,2017,8,blend,stephen curry
1717,Dirk Nowitzki,57.573,19.191,22066.0,2002,2004,8,blend,dirk nowitzki
2730,Dwight Howard,55.817,18.606,22483.0,2008,2010,8,blend,dwight howard
201935,James Harden,55.786,18.595,20181.0,2015,2018,8,blend,james harden
1628369,Jayson Tatum,52.404,17.468,20174.0,2021,2023,8,blend,jayson tatum
2548,Dwyane Wade,51.944,17.315,20560.0,2008,2010,8,blend,dwyane wade
203954,Joel Embiid,51.021,17.007,13629.0,2020,2022,8,blend,joel embiid
893,Michael Jordan,50.578,16.859,11403.0,1996,2001,4,blend,michael jordan
1890,Shawn Marion,50.011,16.67,23235.0,2004,2006,8,blend,shawn marion
201566,Russell Westbrook,49.251,16.417,20591.0,2013,2017,8,blend,russell westbrook
977,Kobe Bryant,49.108,16.369,19284.0,2000,2002,8,blend,kobe bryant
1503,Tracy McGrady,48.877,16.292,19568.0,2000,2002,8,blend,tracy mcgrady
1629029,Luka Dončić,47.569,15.856,15717.0,2021,2023,7,blend,luka dončić
2405,Amar'e Stoudemire,47.45,15.817,20504.0,2004,2007,8,blend,amar'e stoudemire
101108,Chris Paul,47.359,15.786,20285.0,2006,2008,8,blend,chris paul
467,Jason Kidd,46.87,15.623,21338.0,2000,2002,8,blend,jason kidd
203497,Rudy Gobert,45.412,15.137,15543.0,2018,2020,8,blend,rudy gobert
255,Grant Hill,44.357,14.786,15379.0,1996,1998,8,blend,grant hill
764,David Robinson,43.93,14.643,12921.0,1997,1999,6,blend,david robinson
203076,Anthony Davis,43.596,14.532,15645.0,2017,2019,8,blend,anthony davis
304,John Stockton,43.351,14.45,15828.0,1999,2001,7,blend,john stockton
203081,Damian Lillard,43.305,14.435,20219.0,2017,2019,8,blend,damian lillard
56,Gary Payton,43.272,14.424,24389.0,1996,1998,8,blend,gary payton
201933,Blake Griffin,42.956,14.319,17240.0,2011,2013,8,blend,blake griffin
2225,Tony Parker,42.476,14.159,20348.0,2004,2006,8,blend,tony parker
185,Chris Webber,42.296,14.099,18582.0,2000,2002,8,blend,chris webber
1938,Manu Ginobili,41.331,13.777,15398.0,2004,2006,8,blend,manu ginobili
202695,Kawhi Leonard,41.258,13.753,13512.0,2018,2020,8,blend,kawhi leonard
896,Tim Hardaway,40.153,13.384,13816.0,1996,1998,6,blend,tim hardaway
101114,Deron Williams,39.533,13.178,20921.0,2007,2009,8,blend,deron williams
1627734,Domantas Sabonis,38.743,12.914,18260.0,2022,2024,8,blend,domantas sabonis
202331,Paul George,38.663,12.888,19062.0,2015,2018,8,blend,paul george
947,Allen Iverson,38.194,12.731,22167.0,2000,2002,8,blend,allen iverson
1882,Elton Brand,38.111,12.704,23229.0,2004,2006,8,blend,elton brand
201567,Kevin Love,37.625,12.542,16014.0,2013,2017,8,blend,kevin love
203110,Draymond Green,37.543,12.514,14555.0,2015,2018,8,blend,draymond green
