name,year,pre_archetype,proj_role,p_establish,p_stick8,exp_wa,exp_wa_std,comp_n,outcomes,tier_counts,pwa_p10,pwa_p25,pwa_p50,pwa_p75,pwa_p90
James Okonkwo,2026.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Bryon Allen,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
C.J. Barksdale,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Kristopher Acevedo,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Mardracus Wade,2014.0,Spacing Guard,,,,,,0.0,,,,,,,
Ron Wamer,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
D'Von Campbell,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Robbie Stenzel,2014.0,Defensive Wing,,,,,,0.0,,,,,,,
Nick Madray,2014.0,Scoring Wing,Stretch Big,0.534,0.128,2.1,6.1,47.5,Did Not Stick:0.466:0|Stretch Big:0.283:6|Non-Specialized Big:0.148:-0|Passing Hub:0.082:0,Superstar:0.00|All-Star:0.59|Starter:1.75|Role Player:7.14|Replacement:26.41|Negative:8.46,-1.48,0.0,0.0,0.76,10.46
J.J. Moore,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Maurice Creek,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Leslie McDonald,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Kerry Hammonds II,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Jordan Percell,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Colin Gurry,2014.0,Non-Specialized Playmaker,,,,,,0.0,,,,,,,
Davon Usher,2014.0,Scoring Wing,Non-Specialized Wing,0.57,0.106,1.4,5.0,208.7,Did Not Stick:0.430:0|Non-Specialized Wing:0.154:-1|Scoring Wing:0.100:6|Point Forward:0.064:1,Superstar:0.00|All-Star:0.03|Starter:5.06|Role Player:36.77|Replacement:97.72|Negative:50.77,-2.56,-0.33,0.0,0.77,8.46
Travis Wilkins,2014.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Travis Robinson,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
Elliot Kampen,2014.0,Point Forward,Scoring Wing,0.378,0.094,0.8,4.8,21.5,Did Not Stick:0.622:0|Scoring Wing:0.129:6|Non-Specialized Playmaker:0.111:-0|Point Forward:0.083:1,Superstar:0.00|All-Star:0.00|Starter:0.40|Role Player:2.57|Replacement:13.50|Negative:3.64,-1.42,0.0,0.0,0.0,5.05
Eric McAlister,2014.0,3-and-D Wing,Non-Specialized Wing,0.794,0.158,0.9,4.8,10.5,Did Not Stick:0.206:0|Non-Specialized Wing:0.103:-1|Defensive Guard:0.103:8|Defensive Wing:0.103:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:2.53|Replacement:3.29|Negative:3.90,-5.23,-1.83,0.0,2.69,12.22
Ben Cherry,2014.0,Non-Specialized Wing,Non-Specialized Wing,0.705,0.0,-1.1,3.2,17.0,Did Not Stick:0.295:0|Non-Specialized Wing:0.177:-1|Scoring Wing:0.177:6|Non-Specialized Playmaker:0.118:-0,Superstar:0.00|All-Star:0.00|Starter:0.00|Role Player:1.00|Replacement:7.99|Negative:7.96,-7.32,-2.25,0.0,0.0,0.66
