player_name,team,opponent,game_id,date,is_home,fgm,fga,ftm,fta,tpm,tpa,pts,ast,tov,stl,blk,oreb,dreb,pf,possessions,team_possessions,usg_proxy,ortg_proxy,efg_pct
A'lahn Sumler,Charleston So,Virginia Tech,401817517,2025-11-03,False,4,15,3,5,2,4,13,2,2,1,0,4,5,3,19.2,91.6,21.0,72.9,33.3
A'lahn Sumler,Charleston So,Toccoa Falls,401820837,2025-11-06,True,5,10,1,2,1,5,12,2,3,0,0,1,7,1,13.88,95.56,14.5,93.7,55.0
A'lahn Sumler,Charleston So,The Citadel,401820838,2025-11-10,False,6,13,4,8,2,5,18,6,1,1,0,3,3,1,17.52,84.24,20.8,119.9,53.8
A'lahn Sumler,Charleston So,Alabama A&M,401820839,2025-11-13,False,2,6,0,2,1,1,5,4,1,1,0,1,5,3,7.88,81.36,9.7,88.8,41.7
A'lahn Sumler,Charleston So,Lindenwood,401820840,2025-11-14,True,5,10,0,0,0,4,10,6,2,1,0,0,6,3,12.0,88.04,13.6,108.3,50.0
A'lahn Sumler,Charleston So,IU Indy,401820841,2025-11-18,True,11,13,2,6,5,6,29,4,6,0,0,0,6,3,21.64,95.2,22.7,143.3,103.8
A'lahn Sumler,Charleston So,East Carolina,401820809,2025-11-21,False,3,5,1,2,1,1,8,1,3,1,0,1,2,3,8.88,73.72,12.0,95.7,70.0
A'lahn Sumler,Charleston So,South Carolina,401820843,2025-11-28,False,6,14,1,2,1,4,14,1,0,1,1,1,2,3,14.88,80.52,18.5,97.4,46.4
A'lahn Sumler,Charleston So,UT Martin,401820844,2025-12-02,False,3,9,1,4,0,2,7,3,3,0,0,4,4,4,13.76,76.28,18.0,61.8,33.3
A'lahn Sumler,Charleston So,SC State,401820846,2025-12-08,True,4,6,4,4,2,2,14,2,2,1,0,0,1,1,9.76,78.2,12.5,153.7,83.3
A'lahn Sumler makes 25-foot three point jumper (Luke Williams assists),Charleston So,Furman,401820848,2025-12-21,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,81.0,3.7,0.0,0.0
A'lahn Sumler makes layup,Charleston So,North Florida,401820847,2025-12-18,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,85.0,4.7,0.0,0.0
A'lahn Sumler makes layup,Charleston So,Furman,401820848,2025-12-21,False,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7.0,81.0,8.6,0.0,0.0
A'lahn Sumler misses layup,Charleston So,Furman,401820848,2025-12-21,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,81.0,3.7,0.0,0.0
A.J. Neal Jr.,Long Island,Air Force,401812353,2025-11-11,False,1,3,0,0,1,2,3,1,0,0,1,0,1,1,3.0,85.4,3.5,116.7,50.0
A.J. Neal Jr.,Long Island,Illinois,401812356,2025-11-22,False,6,11,1,2,2,3,15,2,3,2,1,1,2,1,14.88,79.08,18.8,107.5,63.6
