player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
- Boyerrichard_William,Western Michigan,2018-19,20.0,1,2,1,2,0,0,1,0,0,1,0,1,17.9,1,2,1,2,0,0,1,0,0,1,0,1
A.J. Banks,Wyoming,2018-19,20.0,29,59,8,20,13,18,0,14,7,4,37,20,19.87,26,49,3,13,26,34,0,14,4,6,40,25
A.J. Caldwell,,2018-19,0.9,15,35,9,21,1,2,0,4,2,1,19,5,0.0,14,35,11,25,0,0,0,0,1,8,9,7
A.J. Frye,NC Wesleyan,2018-19,15.0,4,5,2,2,1,2,0,0,0,0,1,2,20.0,3,4,0,0,4,5,0,1,0,0,5,0
A.J. Hicks,Morehead State,2018-19,20.0,60,167,18,54,35,64,1,30,5,6,39,55,17.62,46,119,16,51,84,119,1,24,7,8,32,38
A.J. John,,2018-19,1.23,19,61,10,41,4,11,0,8,5,9,28,14,0.0,19,60,12,44,5,12,0,6,5,11,26,7
A.J. Lawson,South Carolina,2018-19,20.0,63,154,26,72,23,40,21,13,4,13,46,35,19.2,58,146,22,60,55,75,7,14,3,11,47,34
A.J. Reeves,Providence,2018-19,20.0,41,101,25,65,5,8,3,16,2,5,30,14,19.6,39,84,19,45,25,33,2,8,1,10,23,8
A.J. Turner,Northwestern,2018-19,20.0,41,108,16,55,15,15,8,5,3,1,28,28,20.0,47,101,23,50,24,37,11,12,6,4,33,24
A.J. Walker,Air Force,2018-19,0.0,51,120,20,47,9,12,1,10,1,2,25,27,14.82,41,100,14,36,32,46,0,14,3,2,28,15
AJ Banks,Wyoming,2018-19,20.0,0,0,0,0,0,0,25,0,0,0,0,0,20.0,0,0,0,0,0,0,23,0,0,0,0,0
AJ Brodeur,Pennsylvania,2018-19,20.0,82,169,9,24,22,38,45,18,13,26,82,40,20.0,101,185,7,21,47,81,56,10,25,27,91,35
AJ Caldwell,,2018-19,2.25,0,0,0,0,0,0,9,0,0,0,0,0,0.0,0,0,0,0,0,0,8,0,0,0,0,0
AJ Cheeseman,,2018-19,0.35,32,83,1,8,13,22,5,11,4,9,25,21,0.0,31,70,1,3,25,41,4,5,6,10,17,14
AJ Edu,Toledo,2018-19,20.0,26,53,2,11,22,27,18,7,29,23,36,22,20.0,9,32,2,9,14,21,5,2,24,8,46,16
AJ Farrar,Alabama State,2018-19,0.0,26,39,6,15,15,21,3,1,2,11,34,7,14.93,20,34,2,7,7,14,0,3,8,11,20,2
AJ Frye,NC Wesleyan,2018-19,17.87,0,0,0,0,0,0,2,0,0,0,0,0,20.0,0,0,0,0,0,0,2,0,0,0,0,0
AJ Grant,,2018-19,13.48,1,1,0,0,0,0,0,0,0,0,0,2,0.0,1,2,0,1,0,0,0,0,0,0,1,0
AJ Green,Northern Iowa,2018-19,20.0,72,168,35,77,14,16,39,8,0,4,44,42,20.0,89,223,28,99,40,49,30,7,0,8,34,40
AJ Harris,New Mexico State,2018-19,20.0,48,112,18,60,10,15,49,13,1,6,20,25,19.35,60,136,28,72,21,30,47,16,0,10,21,24
AJ Hicks,Morehead State,2018-19,20.0,0,0,0,0,0,0,87,0,0,0,0,0,17.62,0,0,0,0,0,0,82,0,0,0,0,0
AJ John,UC Davis,2018-19,0.0,0,0,0,0,0,0,14,0,0,0,0,0,17.92,0,0,0,0,0,0,6,0,0,0,0,0
AJ Lawson,South Carolina,2018-19,0.0,0,0,0,0,0,0,26,0,0,0,0,0,19.2,0,0,0,0,0,0,20,0,0,0,0,0
AJ Myers,North Greenville,2018-19,20.0,2,5,0,1,2,2,0,1,0,1,0,0,14.78,1,3,0,0,0,0,0,0,0,0,0,4
AJ Paschal,Wilberforce,2018-19,0.0,0,2,0,0,0,0,0,1,0,0,0,2,14.68,1,3,1,3,0,0,1,0,0,0,3,3
AJ Reeves,Providence,2018-19,20.0,0,0,0,0,0,0,5,0,0,0,0,0,19.6,0,0,0,0,0,0,5,0,0,0,0,0
AJ Sumbry,Wagner,2018-19,19.68,42,83,0,2,23,43,4,2,22,30,62,22,20.0,34,84,0,1,35,55,3,5,18,31,48,17
AJ Turner,Northwestern,2018-19,20.0,0,0,0,0,0,0,26,0,0,0,0,0,20.0,0,0,0,0,0,0,37,0,0,0,0,0
AJ Walker,Air Force,2018-19,10.05,0,0,0,0,0,0,38,0,0,0,0,0,20.0,0,0,0,0,0,0,35,0,0,0,0,0
AJ Walton,Life Pacific,2018-19,20.0,1,4,0,0,2,3,1,1,0,2,0,2,15.03,1,2,1,1,1,2,0,0,0,0,0,0
AJ Wilson,George Mason,2018-19,20.0,20,41,0,2,14,20,1,5,16,16,20,9,20.0,19,32,0,1,14,27,2,10,19,18,17,8
Aamahne Santos,Jacksonville,2018-19,20.0,33,89,22,52,8,9,30,10,1,4,24,23,17.17,28,70,16,48,16,16,36,8,0,5,17,20
Aamir Simms,Clemson,2018-19,20.0,46,101,19,53,10,14,14,11,13,16,52,24,17.78,54,122,19,62,12,16,17,9,10,32,49,17
Aanen Moody,North Dakota,2018-19,20.0,47,114,37,87,4,4,6,11,2,2,22,14,20.0,39,92,32,78,7,8,12,8,2,4,26,14
