player_id,player_name,team,rim_made,rim_missed,rim_assisted,mid_made,mid_missed,mid_assisted,tp_made,tp_missed,tp_assisted,dunk_made,dunk_missed,dunk_assisted,season_year,rim_fga,mid_fga,tp_fga,dunk_fga,total_fga,rim_pct,mid_pct,tp_pct,dunk_pct,rim_freq,mid_freq,tp_freq,dunk_freq,rim_self_creation,mid_self_creation,tp_self_creation,dunk_self_creation,overall_self_creation,modern_shot_profile,pbp_dunk_rate
3,Pooh Williams,Utah St.,48,27,16,22,37,10,36,64,35,6,1,5,2010,75,59,100,7,241,64.0,37.3,36.0,85.7,31.1,24.5,41.5,2.9,66.7,54.5,2.8,16.7,41.1,75.5,2.9
11,Nick Rodgers,Butler,0,0,0,0,1,0,2,1,2,0,0,0,2010,0,1,3,0,4,,0.0,66.7,,0.0,25.0,75.0,0.0,,,,,0.0,75.0,0.0
13,Dana Smith,Longwood,82,52,37,44,83,19,33,58,30,3,1,2,2010,134,127,91,4,356,61.2,34.6,36.3,75.0,37.6,35.7,25.6,1.1,54.9,56.8,9.1,33.3,45.7,64.3,1.1
32,Carlos Strong,Boston University,47,31,18,19,39,2,59,66,42,13,2,8,2010,78,58,125,15,276,60.3,32.8,47.2,86.7,28.3,21.0,45.3,5.4,61.7,89.5,28.8,38.5,49.3,79.0,5.4
33,Sherrod Smith,Boston University,1,6,0,0,3,0,0,2,0,0,0,0,2010,7,3,2,0,12,14.3,0.0,0.0,,58.3,25.0,16.7,0.0,,,,,100.0,75.0,0.0
34,Eulis Stephens,Detroit Mercy,27,13,15,6,8,3,4,18,4,4,1,3,2010,40,14,22,5,81,67.5,42.9,18.2,80.0,49.4,17.3,27.2,6.2,44.4,50.0,0.0,25.0,39.0,82.8,6.2
37,Brett Gifford,Albany,16,5,12,13,27,12,0,1,0,0,0,0,2010,21,40,1,0,62,76.2,32.5,0.0,,33.9,64.5,1.6,0.0,25.0,7.7,,,17.2,35.5,0.0
38,Valdas Sirutis,Boston University,9,9,7,4,9,3,7,22,7,0,0,0,2010,18,13,29,0,60,50.0,30.8,24.1,,30.0,21.7,48.3,0.0,22.2,25.0,0.0,,15.0,78.3,0.0
39,Corey Lowe,Boston University,39,37,3,45,83,5,75,145,40,0,1,0,2010,76,128,220,1,425,51.3,35.2,34.1,0.0,17.9,30.1,51.8,0.2,92.3,88.9,46.7,,69.8,69.9,0.2
41,Grant Leiendecker,Butler,1,0,1,0,2,0,3,8,3,0,0,0,2010,1,2,11,0,14,100.0,0.0,27.3,,7.1,14.3,78.6,0.0,,,0.0,,0.0,85.7,0.0
43,Patrick Bouli,Manhattan,6,8,2,10,18,5,28,53,22,0,0,0,2010,14,28,81,0,123,42.9,35.7,34.6,,11.4,22.8,65.9,0.0,66.7,50.0,21.4,,34.1,77.3,0.0
45,Antoine Pearson,Manhattan,49,44,4,15,42,1,15,37,12,0,0,0,2010,93,57,52,0,202,52.7,26.3,28.8,,46.0,28.2,25.7,0.0,91.8,93.3,20.0,,78.5,71.7,0.0
47,Chris Harris,Navy,59,74,13,36,86,10,88,169,78,0,0,0,2010,133,122,257,0,512,44.4,29.5,34.2,,26.0,23.8,50.2,0.0,78.0,72.2,11.4,,44.8,76.2,0.0
49,T.J. Topercer,Navy,15,3,10,0,6,0,8,36,8,0,0,0,2010,18,6,44,0,68,83.3,0.0,18.2,,26.5,8.8,64.7,0.0,33.3,,0.0,,21.7,91.2,0.0
51,Brandon Adams,Manhattan,41,46,18,23,37,11,1,1,1,7,2,7,2010,87,60,2,9,158,47.1,38.3,50.0,77.8,55.1,38.0,1.3,5.7,56.1,52.2,,0.0,48.6,62.1,5.7
52,Darryl Crawford,Manhattan,81,55,15,55,113,16,21,55,17,5,0,2,2010,136,168,76,5,385,59.6,32.7,27.6,100.0,35.3,43.6,19.7,1.3,81.5,70.9,19.0,60.0,69.1,56.3,1.3
55,Jabari Deshields,Alabama A&M,5,19,1,7,26,1,6,15,6,0,0,0,2010,24,33,21,0,78,20.8,21.2,28.6,,30.8,42.3,26.9,0.0,80.0,85.7,0.0,,55.6,57.7,0.0
57,Charles Jenkins,Hofstra,86,47,26,78,149,21,59,87,54,2,0,1,2010,133,227,146,2,508,64.7,34.4,40.4,100.0,26.2,44.7,28.7,0.4,69.8,73.1,8.5,50.0,54.7,55.3,0.4
60,Pierre Curtis,James Madison,38,23,4,19,45,2,19,41,17,0,0,0,2010,61,64,60,0,185,62.3,29.7,31.7,,33.0,34.6,32.4,0.0,89.5,89.5,10.5,,69.7,65.4,0.0
61,Greg Washington,Hofstra,35,14,20,51,92,45,0,1,0,14,4,12,2010,49,143,1,18,211,71.4,35.7,0.0,77.8,23.2,67.8,0.5,8.5,42.9,11.8,,14.3,23.0,32.2,8.5
62,Matt Parker,James Madison,6,2,3,2,8,0,20,42,20,1,0,0,2010,8,10,62,1,81,75.0,20.0,32.3,100.0,9.9,12.3,76.5,1.2,50.0,100.0,0.0,100.0,20.7,87.6,1.2
72,Evan Neisler,Drexel,44,20,27,9,14,7,0,0,0,15,0,10,2010,64,23,0,15,102,68.8,39.1,,100.0,62.7,22.5,0.0,14.7,38.6,22.2,,33.3,35.3,77.4,14.7
79,Moussa Camara,Binghamton,43,20,19,13,44,6,43,92,37,6,0,5,2010,63,57,135,6,261,68.3,22.8,31.9,100.0,24.1,21.8,51.7,2.3,55.8,53.8,14.0,16.7,36.2,78.1,2.3
82,Otis Polk,Bowling Green,100,71,60,13,40,6,0,0,0,13,2,11,2010,171,53,0,15,239,58.5,24.5,,86.7,71.5,22.2,0.0,6.3,40.0,53.8,,15.4,38.9,77.8,6.3
84,Marc Larson,Bowling Green,43,32,24,19,34,18,0,0,0,4,0,2,2010,75,53,0,4,132,57.3,35.8,,100.0,56.8,40.2,0.0,3.0,44.2,5.3,,50.0,33.3,59.8,3.0
86,Landon Milbourne,Maryland,78,46,52,73,97,54,13,24,13,12,2,10,2010,124,170,37,14,345,62.9,42.9,35.1,85.7,35.9,49.3,10.7,4.1,33.3,26.0,0.0,16.7,26.7,50.7,4.1
87,Eric Hayes,Maryland,29,16,17,36,36,9,61,74,54,0,0,0,2010,45,72,135,0,252,64.4,50.0,45.2,,17.9,28.6,53.6,0.0,41.4,75.0,11.5,,36.5,71.5,0.0
91,Vernon Macklin,Florida,121,43,74,35,58,14,0,0,0,42,3,30,2010,164,93,0,45,302,73.8,37.6,,93.3,54.3,30.8,0.0,14.9,38.8,60.0,,28.6,40.4,69.2,14.9
92,Levi Knutson,Colorado,8,5,4,2,11,1,9,16,9,0,0,0,2010,13,13,25,0,51,61.5,15.4,36.0,,25.5,25.5,49.0,0.0,50.0,50.0,0.0,,26.3,74.5,0.0
100,Frank Hassell,Old Dominion,98,35,57,36,79,15,0,0,0,9,1,7,2010,133,115,0,10,258,73.7,31.3,,90.0,51.6,44.6,0.0,3.9,41.8,58.3,,22.2,44.8,55.5,3.9
104,Kevin White,Maryland Eastern Shore,45,36,6,47,92,9,19,53,16,0,0,0,2010,81,139,72,0,292,55.6,33.8,26.4,,27.7,47.6,24.7,0.0,86.7,80.9,15.8,,72.1,52.4,0.0
113,Sean Carter,Massachusetts,59,57,32,0,6,0,0,0,0,26,9,18,2010,116,6,0,35,157,50.9,0.0,,74.3,73.9,3.8,0.0,22.3,45.8,,,30.8,41.2,96.2,22.3
114,Carlton Fay,Southern Illinois,19,8,16,64,53,33,42,68,39,0,0,0,2010,27,117,110,0,254,70.4,54.7,38.2,,10.6,46.1,43.3,0.0,15.8,48.4,7.1,,29.6,53.9,0.0
117,Paul Campbell,Hawaii,32,7,21,24,31,5,0,0,0,19,2,14,2010,39,55,0,21,115,82.1,43.6,,90.5,33.9,47.8,0.0,18.3,34.4,79.2,,26.3,46.7,52.2,18.3
118,Adhar Mayen,Hawaii,8,5,7,41,39,29,23,52,22,1,0,1,2010,13,80,75,1,169,61.5,51.2,30.7,100.0,7.7,47.3,44.4,0.6,12.5,29.3,4.3,0.0,19.2,52.7,0.6
123,Zach Hahn,Butler,4,4,3,9,8,0,45,66,40,0,0,0,2010,8,17,111,0,136,50.0,52.9,40.5,,5.9,12.5,81.6,0.0,25.0,100.0,11.1,,25.9,87.5,0.0
124,Matt Howard,Butler,94,64,69,31,59,16,3,8,3,17,2,16,2010,158,90,11,19,278,59.5,34.4,27.3,89.5,56.8,32.4,4.0,6.8,26.6,48.4,0.0,5.9,28.3,67.6,6.8
125,Shawn Vanzant,Butler,7,9,1,6,12,0,14,32,11,0,0,0,2010,16,18,46,0,80,43.8,33.3,30.4,,20.0,22.5,57.5,0.0,85.7,100.0,21.4,,55.6,77.5,0.0
128,Tunde Agboola,Boston University,3,2,2,1,2,0,1,1,1,0,0,0,2010,5,3,2,0,10,60.0,33.3,50.0,,50.0,30.0,20.0,0.0,33.3,,,,40.0,70.0,0.0
145,George Barbour,Monmouth,6,3,4,1,8,0,0,0,0,2,0,2,2010,9,9,0,2,20,66.7,11.1,,100.0,45.0,45.0,0.0,10.0,33.3,,,0.0,33.3,55.0,10.0
146,James Hett,Monmouth,25,21,9,7,17,3,15,47,12,0,0,0,2010,46,24,62,0,132,54.3,29.2,24.2,,34.8,18.2,47.0,0.0,64.0,57.1,20.0,,48.9,81.8,0.0
148,Thomas Coleman,North Carolina A&T,91,50,52,12,36,4,0,2,0,32,1,27,2010,141,48,2,33,224,64.5,25.0,0.0,97.0,62.9,21.4,0.9,14.7,42.9,66.7,,15.6,38.5,78.5,14.7
150,Kyle Riley,Howard,37,27,19,11,17,2,6,46,6,2,1,1,2010,64,28,52,3,147,57.8,39.3,11.5,66.7,43.5,19.0,35.4,2.0,48.6,81.8,0.0,50.0,50.0,80.9,2.0
152,Justin Nabors,Lamar,101,52,52,38,77,22,6,15,6,8,1,6,2010,153,115,21,9,298,66.0,33.0,28.6,88.9,51.3,38.6,7.0,3.0,48.5,42.1,0.0,25.0,43.8,61.3,3.0
154,Noah States,Furman,10,6,6,8,23,1,7,13,7,3,1,2,2010,16,31,20,4,71,62.5,25.8,35.0,75.0,22.5,43.7,28.2,5.6,40.0,87.5,0.0,33.3,42.9,56.3,5.6
155,Adam Walker,Howard,23,16,7,21,55,5,2,5,2,0,0,0,2010,39,76,7,0,122,59.0,27.6,28.6,,32.0,62.3,5.7,0.0,69.6,76.2,,,69.6,37.7,0.0
157,Jihad Ali,Georgia St.,17,10,7,23,34,15,25,45,24,1,0,0,2010,27,57,70,1,155,63.0,40.4,35.7,100.0,17.4,36.8,45.2,0.6,58.8,34.8,4.0,100.0,30.3,63.2,0.6
161,Jay Threatt,Delaware St.,19,11,6,30,48,4,21,60,14,0,0,0,2010,30,78,81,0,189,63.3,38.5,25.9,,15.9,41.3,42.9,0.0,68.4,86.7,33.3,,65.7,58.8,0.0
162,Isaiah Tate,George Mason,17,11,11,6,21,3,23,46,20,1,0,1,2010,28,27,69,1,125,60.7,22.2,33.3,100.0,22.4,21.6,55.2,0.8,35.3,50.0,13.0,0.0,25.5,78.4,0.8
163,Vlad Moldoveanu,American,48,22,26,30,55,15,48,76,46,0,0,0,2010,70,85,124,0,279,68.6,35.3,38.7,,25.1,30.5,44.4,0.0,45.8,50.0,4.2,,31.0,69.5,0.0
164,Tyren Johnson,Louisiana,91,28,42,76,119,25,29,53,21,28,2,22,2010,119,195,82,30,426,76.5,39.0,35.4,93.3,27.9,45.8,19.2,7.0,53.8,67.1,27.6,21.4,50.9,54.1,7.0
180,Pawel Buczak,Princeton,39,36,13,7,23,2,10,15,10,1,0,0,2010,75,30,25,1,131,52.0,23.3,40.0,100.0,57.3,22.9,19.1,0.8,66.7,71.4,0.0,100.0,56.1,77.2,0.8
184,Calvin Baker,Virginia,8,7,4,13,30,3,8,26,7,0,0,0,2010,15,43,34,0,92,53.3,30.2,23.5,,16.3,46.7,37.0,0.0,50.0,76.9,12.5,,51.7,53.3,0.0
185,Yaniv Simpson,Monmouth,0,0,0,0,0,0,0,6,0,0,0,0,2010,0,0,6,0,6,,,0.0,,0.0,0.0,100.0,0.0,,,,,100.0,100.0,0.0
186,Ousman Krubally,Georgia St.,57,39,26,16,22,10,0,0,0,0,0,0,2010,96,38,0,0,134,59.4,42.1,,,71.6,28.4,0.0,0.0,54.4,37.5,,,50.7,71.6,0.0
188,Howard Crawford,UAB,76,39,46,57,100,32,10,22,10,27,4,24,2010,115,157,32,31,335,66.1,36.3,31.2,87.1,34.3,46.9,9.6,9.3,39.5,43.9,0.0,11.1,34.1,53.2,9.3
193,Ryan Reid,Florida St.,45,26,24,37,59,23,0,0,0,5,0,3,2010,71,96,0,5,172,63.4,38.5,,100.0,41.3,55.8,0.0,2.9,46.7,37.8,,40.0,42.5,44.2,2.9
197,Kyle Singler,Duke,67,34,30,76,160,22,85,128,82,4,1,4,2010,101,236,213,5,555,66.3,32.2,39.9,80.0,18.2,42.5,38.4,0.9,55.2,71.1,3.5,0.0,40.5,57.5,0.9
198,Nolan Smith,Duke,95,60,35,84,147,17,60,94,50,10,4,4,2010,155,231,154,14,554,61.3,36.4,39.0,71.4,28.0,41.7,27.8,2.5,63.2,79.8,16.7,60.0,57.4,58.3,2.5
200,Taylor King,Villanova,29,24,25,14,20,6,40,70,38,5,1,5,2010,53,34,110,6,203,54.7,41.2,36.4,83.3,26.1,16.7,54.2,3.0,13.8,57.1,5.0,0.0,15.9,83.3,3.0
201,E'Twaun Moore,Purdue,42,21,18,119,148,27,51,95,44,6,1,5,2010,63,267,146,7,483,66.7,44.6,34.9,85.7,13.0,55.3,30.2,1.4,57.1,77.3,13.7,16.7,56.9,44.6,1.4
203,JaJuan Johnson,Purdue,49,24,37,143,159,106,0,4,0,30,1,27,2010,73,302,4,31,410,67.1,47.4,0.0,96.8,17.8,73.7,1.0,7.6,24.5,25.9,,10.0,23.4,26.4,7.6
209,Tim Abromaitis,Notre Dame,76,42,48,26,34,12,81,109,78,25,1,20,2010,118,60,190,26,394,64.4,43.3,42.6,96.2,29.9,15.2,48.2,6.6,36.8,53.8,3.7,20.0,24.0,84.7,6.6
210,Tyrone Nash,Notre Dame,78,52,55,18,29,14,0,0,0,9,2,9,2010,130,47,0,11,188,60.0,38.3,,81.8,69.1,25.0,0.0,5.9,29.5,22.2,,0.0,25.7,75.0,5.9
211,Junior Salters,Wofford,14,17,5,9,33,4,66,111,56,0,1,0,2010,31,42,177,1,251,45.2,21.4,37.3,0.0,12.4,16.7,70.5,0.4,64.3,55.6,15.2,,27.0,83.3,0.4
212,Jerome Randle,California,59,31,14,55,79,4,87,132,54,0,0,0,2010,90,134,219,0,443,65.6,41.0,39.7,,20.3,30.2,49.4,0.0,76.3,92.7,37.9,,64.2,69.7,0.0
218,Tim Johnson,Wofford,70,71,22,16,42,3,0,0,0,9,1,7,2010,141,58,0,10,209,49.6,27.6,,90.0,67.5,27.8,0.0,4.8,68.6,81.2,,22.2,66.3,72.3,4.8
220,Corey Godzinski,Wofford,18,11,10,7,12,2,13,45,13,1,0,1,2010,29,19,58,1,107,62.1,36.8,22.4,100.0,27.1,17.8,54.2,0.9,44.4,71.4,0.0,0.0,33.3,82.2,0.9
230,Ryann Abraham,Appalachian St.,22,17,2,12,20,5,23,40,14,0,0,0,2010,39,32,63,0,134,56.4,37.5,36.5,,29.1,23.9,47.0,0.0,90.9,58.3,39.1,,63.2,76.1,0.0
231,Robo Kreps,Illinois Chicago,42,40,11,40,82,18,54,127,38,0,0,0,2010,82,122,181,0,385,51.2,32.8,29.8,,21.3,31.7,47.0,0.0,73.8,55.0,29.6,,50.7,68.3,0.0
232,Peter Sullivan,Brown,52,36,26,18,40,6,34,59,31,0,0,0,2010,88,58,93,0,239,59.1,31.0,36.6,,36.8,24.3,38.9,0.0,50.0,66.7,8.8,,39.4,75.7,0.0
235,Matt Mullery,Brown,136,86,59,12,21,4,8,26,7,1,0,1,2010,222,33,34,1,290,61.3,36.4,23.5,100.0,76.6,11.4,11.7,0.3,56.6,66.7,12.5,0.0,54.8,88.6,0.3
238,Andrew Fleming,Long Beach St.,12,1,9,5,9,4,0,0,0,3,0,2,2010,13,14,0,3,30,92.3,35.7,,100.0,43.3,46.7,0.0,10.0,25.0,20.0,,33.3,25.0,53.3,10.0
243,Eugene Harvey,Seton Hall,78,56,25,3,10,0,10,19,4,0,0,0,2010,134,13,29,0,176,58.2,23.1,34.5,,76.1,7.4,16.5,0.0,67.9,100.0,60.0,,68.1,92.6,0.0
248,L.D. Williams,Wake Forest,64,28,36,30,56,14,6,31,6,22,0,16,2010,92,86,37,22,237,69.6,34.9,16.2,100.0,38.8,36.3,15.6,9.3,43.8,53.3,0.0,27.3,41.0,63.7,9.3
262,D.J. Gay,San Diego St.,13,12,3,30,70,0,59,93,36,0,0,0,2010,25,100,152,0,277,52.0,30.0,38.8,,9.0,36.1,54.9,0.0,76.9,100.0,39.0,,61.8,63.9,0.0
263,Zavier Anderson,Clemson,2,1,1,0,2,0,0,0,0,0,0,0,2010,3,2,0,0,5,66.7,0.0,,,60.0,40.0,0.0,0.0,,,,,50.0,60.0,0.0
266,Adam Carp,Nevada,1,4,0,0,0,0,0,1,0,0,0,0,2010,5,0,1,0,6,20.0,,0.0,,83.3,0.0,16.7,0.0,,,,,100.0,100.0,0.0
269,Dante Jackson,Xavier,11,10,1,6,18,2,57,85,50,1,0,0,2010,21,24,142,1,188,52.4,25.0,40.1,100.0,11.2,12.8,75.5,0.5,90.9,66.7,12.3,100.0,29.3,87.2,0.5
273,Justin Rutty,Quinnipiac,166,116,80,39,57,16,0,0,0,14,1,12,2010,282,96,0,15,393,58.9,40.6,,93.3,71.8,24.4,0.0,3.8,51.8,59.0,,14.3,50.7,75.6,3.8
276,Dante Curry,Georgia St.,2,2,1,3,9,1,11,29,11,0,0,0,2010,4,12,40,0,56,50.0,25.0,27.5,,7.1,21.4,71.4,0.0,,66.7,0.0,,18.8,78.5,0.0
280,Keaton Belcher,Belmont,42,16,27,14,14,5,48,101,47,10,0,9,2010,58,28,149,10,245,72.4,50.0,32.2,100.0,23.7,11.4,60.8,4.1,35.7,64.3,2.1,10.0,22.8,88.6,4.1
284,Graeme Radford,Stetson,12,12,9,2,14,0,0,0,0,4,0,4,2010,24,16,0,4,44,50.0,12.5,,100.0,54.5,36.4,0.0,9.1,25.0,100.0,,0.0,27.8,63.6,9.1
306,Grant Maxey,Jackson St.,3,3,0,3,3,0,0,2,0,0,0,0,2010,6,6,2,0,14,50.0,50.0,0.0,,42.9,42.9,14.3,0.0,100.0,100.0,,,100.0,57.2,0.0
307,Jason Averkamp,Milwaukee,36,8,22,12,23,6,11,28,11,0,0,0,2010,44,35,39,0,118,81.8,34.3,28.2,,37.3,29.7,33.1,0.0,38.9,50.0,0.0,,33.9,70.4,0.0
312,Woody Payne,Detroit Mercy,44,26,6,8,31,3,5,14,5,2,0,0,2010,70,39,19,2,130,62.9,20.5,26.3,100.0,53.8,30.0,14.6,1.5,86.4,62.5,0.0,100.0,76.3,69.9,1.5
