player_name,season,n_games,scorer_slope,scorer_slope_lo,scorer_slope_hi,scorer_r2,scorer_p,passer_slope,passer_slope_lo,passer_slope_hi,passer_r2,passer_p,usg_mean,usg_sd,usg_min,usg_max,pts_per_poss_mean,ast_per_poss_mean
A'lahn Sumler,2025-26,10,0.00968,-0.0355,0.05486,0.022,0.6856,-0.01439,-0.03711,0.00833,0.162,0.2496,16.33,4.45,9.7,22.7,0.916,0.239
AJ Clark,2025-26,10,0.02687,-0.03695,0.09069,0.078,0.4332,-0.03188,-0.08773,0.02397,0.135,0.2957,9.43,3.58,5.9,18.5,0.953,0.289
AJ Dancler,2025-26,11,0.00543,-0.06198,0.07283,0.003,0.8781,-0.00785,-0.02213,0.00642,0.114,0.3089,19.52,3.81,11.4,25.4,0.901,0.156
AJ George,2025-26,12,0.02475,-0.0425,0.09201,0.049,0.4872,-0.00736,-0.0261,0.01138,0.056,0.4594,12.49,2.34,8.9,15.9,0.706,0.112
AJ Rohosy,2025-26,10,-0.00493,-0.06691,0.05705,0.003,0.8801,0.00217,-0.01425,0.0186,0.008,0.802,12.43,3.53,6.3,18.7,1.002,0.076
AJ Smith,2025-26,17,0.02603,-0.02306,0.07513,0.067,0.3151,-0.00663,-0.0189,0.00564,0.07,0.3062,11.91,3.79,6.7,17.5,0.943,0.122
AJ Staton-McCray,2025-26,10,-0.01552,-0.06948,0.03844,0.038,0.5884,0.00397,-0.01208,0.02001,0.029,0.641,16.48,3.83,10.7,22.1,1.186,0.134
AJ Storr,2025-26,10,0.02645,-0.03174,0.08465,0.09,0.399,-0.00815,-0.01958,0.00328,0.196,0.1998,16.88,4.92,13.3,27.8,1.021,0.15
Aaron Clark,2025-26,10,0.02176,-0.02027,0.0638,0.114,0.3399,-0.00808,-0.01756,0.0014,0.259,0.1333,21.63,7.4,8.5,30.9,0.812,0.18
Aaron Hunkin-Claytor,2025-26,10,-0.01353,-0.09255,0.06548,0.014,0.7457,-0.02435,-0.06371,0.01501,0.155,0.2599,11.29,5.68,5.8,21.4,0.852,0.512
Abdi Bashir Jr.,2025-26,10,0.00221,-0.02732,0.03174,0.003,0.8869,-0.02978,-0.05752,-0.00204,0.356,0.0685,14.62,4.94,6.9,23.9,1.113,0.23
Acaden Lewis,2025-26,10,0.02169,-0.02201,0.06539,0.106,0.3592,-0.03955,-0.071,-0.00809,0.431,0.0391,16.16,4.67,10.3,24.5,0.958,0.503
Ace Glass,2025-26,11,0.0227,-0.00987,0.05527,0.172,0.2051,-0.00133,-0.00871,0.00604,0.014,0.7311,18.31,7.08,7.9,31.6,1.01,0.114
Ace Talbert,2025-26,13,0.01436,-0.03767,0.06638,0.026,0.5994,-0.03431,-0.05399,-0.01462,0.515,0.0058,11.88,3.4,6.6,18.3,0.817,0.208
Ace Valentine,2025-26,10,-0.05058,-0.10491,0.00375,0.294,0.1055,-0.03472,-0.06999,0.00054,0.318,0.0898,13.26,3.97,7.2,18.9,1.001,0.479
Achile Spadone,2025-26,12,0.02392,-0.01088,0.05871,0.154,0.2077,0.00341,-0.01225,0.01907,0.018,0.6788,16.76,4.89,9.7,26.5,0.727,0.154
Adam Clark,2025-26,10,-0.01278,-0.07035,0.04479,0.023,0.6749,-0.02022,-0.0562,0.01575,0.132,0.3026,15.93,4.77,8.7,23.1,0.83,0.431
Adam Hinton,2025-26,10,0.01664,-0.02299,0.05628,0.078,0.4344,-0.03248,-0.04038,-0.02458,0.89,0.0,14.89,6.03,5.2,23.6,1.125,0.262
Adam Miller,2025-26,11,-0.07717,-0.18087,0.02653,0.191,0.1787,-0.0407,-0.08025,-0.00114,0.311,0.0745,9.55,1.98,7.2,12.3,1.194,0.136
Adam Olsen,2025-26,10,0.02391,-0.02782,0.07563,0.093,0.3914,0.0072,-0.00202,0.01642,0.227,0.1643,17.16,5.26,10.1,26.2,1.151,0.075
Aday Mara,2025-26,10,0.05624,0.00627,0.10621,0.378,0.0585,0.0105,-0.01242,0.03342,0.092,0.3954,12.48,3.18,8.3,17.4,0.926,0.177
Addison Patterson,2025-26,10,-0.00606,-0.08195,0.06983,0.003,0.8795,-0.04051,-0.07759,-0.00344,0.364,0.0646,15.43,2.88,12.0,20.7,0.973,0.225
Adrian Uchidiuno,2025-26,11,-0.04403,-0.09451,0.00646,0.245,0.1216,0.00222,-0.00893,0.01337,0.017,0.7056,15.54,4.65,6.6,23.1,0.978,0.089
Adrien Stevens,2025-26,11,0.07846,-0.04782,0.20474,0.141,0.2543,-0.02834,-0.08692,0.03025,0.091,0.3679,7.0,2.2,5.2,12.9,1.008,0.213
Afan Trnka,2025-26,10,0.05098,0.01448,0.08749,0.484,0.0256,-0.01893,-0.06084,0.02297,0.089,0.4017,10.62,2.15,7.1,13.9,0.54,0.378
Ahmad Harrison,2025-26,11,0.00752,-0.01744,0.03249,0.037,0.5694,-0.00194,-0.02124,0.01736,0.004,0.8483,11.06,5.63,5.3,22.6,0.705,0.121
Ahmad Robinson,2025-26,10,-0.03541,-0.07082,1e-05,0.324,0.0857,-0.02394,-0.04779,-8e-05,0.326,0.0847,15.88,5.33,5.2,22.4,1.083,0.333
Aidan Hadaway,2025-26,10,0.04483,-0.00791,0.09756,0.258,0.1343,-0.00177,-0.02213,0.0186,0.004,0.8693,17.29,3.04,12.9,21.6,0.986,0.114
Aidan Kehoe,2025-26,11,0.02483,-0.00705,0.05671,0.206,0.1612,-0.00127,-0.01491,0.01237,0.004,0.859,14.43,5.56,7.2,21.9,1.062,0.108
Aidan Mahaney,2025-26,10,-0.0347,-0.09076,0.02136,0.155,0.2596,-0.01745,-0.03117,-0.00374,0.437,0.0373,19.39,5.42,6.6,27.9,1.043,0.217
Aidan Richard,2025-26,11,-0.03006,-0.14694,0.08682,0.027,0.6263,-0.02988,-0.05945,-0.00032,0.304,0.0789,11.75,1.95,8.2,14.4,0.811,0.137
Aiden Argabright,2025-26,10,0.04364,-0.03138,0.11865,0.14,0.2872,-0.00347,-0.04767,0.04073,0.003,0.8816,12.04,2.76,7.0,15.5,1.175,0.222
Aiden Tobiason,2025-26,11,0.0017,-0.05805,0.06145,0.0,0.9567,-0.00314,-0.02116,0.01487,0.013,0.7401,17.47,3.77,11.5,24.2,1.164,0.157
Akai Fleming,2025-26,10,0.02775,-0.04007,0.09557,0.074,0.4458,-0.00579,-0.02116,0.00958,0.064,0.4815,13.67,4.39,7.0,19.6,0.737,0.091
Akira Jacobs,2025-26,10,-0.02715,-0.13397,0.07966,0.03,0.6317,-0.03355,-0.0666,-0.0005,0.331,0.0819,8.95,2.47,5.9,12.9,1.103,0.127
Albert Vargas,2025-26,11,-0.00528,-0.08585,0.07529,0.002,0.9006,-0.00954,-0.02609,0.00701,0.124,0.2878,11.95,4.94,6.1,21.1,0.947,0.445
Alden Applewhite,2025-26,12,-0.00054,-0.05764,0.05656,0.0,0.9856,-0.00201,-0.02187,0.01785,0.004,0.8465,13.48,3.44,9.0,19.2,1.049,0.143
Alex Cotton,2025-26,10,0.02273,-0.01885,0.06431,0.125,0.3153,-0.0018,-0.01946,0.01586,0.005,0.8464,13.93,3.81,9.9,20.8,0.953,0.089
Alex Huibregtse,2025-26,11,-0.05343,-0.13451,0.02765,0.156,0.2287,0.00813,-0.01268,0.02895,0.061,0.4634,14.15,3.66,6.9,18.0,1.11,0.134
Alex Karaban,2025-26,11,-0.00478,-0.07699,0.06743,0.002,0.8996,-0.00186,-0.02204,0.01832,0.004,0.8608,15.35,3.56,11.0,21.2,1.197,0.187
Alex Mirhosseini,2025-26,11,0.02448,-0.00232,0.05128,0.263,0.107,-0.00484,-0.01698,0.0073,0.064,0.4544,16.5,5.73,6.7,26.6,0.569,0.164
Alex Wilkins,2025-26,11,0.01115,-0.01146,0.03377,0.094,0.3589,-0.0155,-0.03129,0.00028,0.292,0.0864,22.77,7.8,11.2,36.4,0.878,0.294
All Wright,2025-26,11,0.00341,-0.07483,0.08164,0.001,0.9339,-0.02009,-0.04093,0.00075,0.284,0.0914,11.15,4.41,6.5,20.8,1.174,0.285
Allen Graves,2025-26,11,0.01473,-0.06119,0.09065,0.016,0.7126,-0.05768,-0.09739,-0.01796,0.474,0.0192,11.55,3.44,6.9,16.1,0.887,0.285
Alonzo Dodd,2025-26,10,-0.00318,-0.06261,0.05625,0.001,0.9191,-0.00706,-0.0245,0.01039,0.073,0.4508,17.11,5.15,10.9,27.7,0.938,0.246
Alphonzo Billups III,2025-26,10,-0.05508,-0.12461,0.01446,0.231,0.1592,-0.00097,-0.04013,0.03819,0.0,0.9625,12.22,2.69,7.4,16.2,0.866,0.204
Alvaro Folgueiras,2025-26,10,-0.00052,-0.14937,0.14834,0.0,0.9948,-0.01993,-0.0676,0.02774,0.077,0.4363,10.7,2.98,6.5,15.6,1.151,0.305
Amani Hansberry,2025-26,11,-0.00925,-0.04335,0.02486,0.03,0.608,-0.02633,-0.04841,-0.00425,0.378,0.0442,18.29,3.16,12.9,23.2,1.067,0.233
Amani Lyles,2025-26,11,0.01409,-0.01697,0.04514,0.081,0.3971,0.00176,-0.01448,0.01801,0.005,0.8362,14.95,5.22,7.0,22.9,1.213,0.192
Amari Allen,2025-26,11,0.00026,-0.04578,0.0463,0.0,0.9915,-0.01054,-0.04752,0.02645,0.033,0.5903,12.26,4.18,5.7,22.1,0.962,0.3
Amari McCottry,2025-26,10,0.0254,-0.02243,0.07324,0.119,0.3284,-0.01055,-0.02814,0.00703,0.147,0.2734,15.57,4.87,8.8,24.7,0.872,0.224
Amarri Monroe,2025-26,10,0.00628,-0.01548,0.02804,0.038,0.5872,-0.01275,-0.0225,-0.00299,0.45,0.0336,20.38,6.22,9.8,29.4,0.94,0.156
AmaÃ«l L'Etang,2025-26,11,-0.00298,-0.05754,0.05158,0.001,0.9171,-0.01576,-0.02962,-0.0019,0.356,0.0528,15.22,3.7,8.3,19.5,1.044,0.14
Amir Lindsey,2025-26,11,-0.02054,-0.08571,0.04463,0.041,0.5521,-0.01456,-0.03251,0.00338,0.219,0.1462,19.46,4.74,13.4,25.5,1.004,0.29
Amon DÃ¶rries,2025-26,12,0.0058,-0.02571,0.0373,0.013,0.7258,-0.00618,-0.01732,0.00495,0.106,0.3021,18.49,4.45,11.7,27.7,0.95,0.09
Andre Mills,2025-26,11,0.0116,-0.05295,0.07615,0.014,0.7328,0.01423,-0.00341,0.03187,0.217,0.1483,13.19,3.19,8.5,18.8,0.833,0.108
Andre Pasha,2025-26,11,0.00537,-0.00934,0.02008,0.054,0.4922,-0.01154,-0.0257,0.00262,0.221,0.1447,14.65,5.79,7.6,24.6,0.958,0.176
Andrej Stojakovic,2025-26,10,0.04286,0.02381,0.06191,0.709,0.0023,-0.01012,-0.01941,-0.00082,0.363,0.0654,18.54,5.88,9.0,25.0,0.949,0.089
