player_name,position,height_no_shoes_in,height_with_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length,hand_width,source,verified,imported_at
Matt Able,SG,75.75,77.0,195.8,80.25,103.0,,8.75,10.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Darius Acuff Jr.,PG,74.0,75.25,185.8,78.5,98.5,,8.5,9.25,nba_combine_2026,True,2026-05-09T00:00:00Z
Amari Allen,SF,77.25,78.5,204.6,80.0,99.5,,8.25,9.25,nba_combine_2026,True,2026-05-09T00:00:00Z
Nate Ament,PF,81.5,82.75,210.8,83.5,109.5,,8.5,9.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Christian Anderson,PG,73.0,74.25,180.4,78.25,96.5,,8.5,8.25,nba_combine_2026,True,2026-05-09T00:00:00Z
Tobe Awaka,C,80.0,81.25,261.4,86.25,105.0,,9.25,10.0,nba_combine_2026,True,2026-05-09T00:00:00Z
Flory Bidunga,C,79.75,81.0,228.6,87.25,106.5,,9.25,10.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Tyler Bilodeau,PF,79.25,80.5,228.2,84.75,107.0,,9.0,9.5,nba_combine_2026,True,2026-05-09T00:00:00Z
John Blackwell,SG,75.25,76.5,199.6,74.25,98.0,,8.25,9.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Cameron Boozer,PF,80.25,81.5,252.8,85.5,108.0,,8.75,9.75,nba_combine_2026,True,2026-05-09T00:00:00Z
Kylan Boswell,PG,73.25,74.5,226.0,79.0,95.0,,8.0,8.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Nick Boyd,PG,73.0,74.25,176.2,74.5,96.0,,8.0,8.25,nba_combine_2026,True,2026-05-09T00:00:00Z
Jaden Bradley,PG,74.5,75.75,205.4,78.25,96.0,,8.0,9.25,nba_combine_2026,True,2026-05-09T00:00:00Z
Trevon Brazile,PF,81.5,82.75,225.6,87.75,109.0,,9.0,10.25,nba_combine_2026,True,2026-05-09T00:00:00Z
Maliq Brown,C,80.0,81.25,216.6,84.75,107.0,,8.75,9.0,nba_combine_2026,True,2026-05-09T00:00:00Z
Christopher Brown Jr,PG,75.5,76.75,190.2,79.5,100.5,,8.25,9.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Brayden Burries,SG,75.75,77.0,215.4,78.0,98.5,,8.25,9.25,nba_combine_2026,True,2026-05-09T00:00:00Z
Cameron Carr,SG,76.5,77.75,184.4,84.75,104.0,,8.75,9.25,nba_combine_2026,True,2026-05-09T00:00:00Z
Rafael Castro,C,81.0,82.25,224.4,85.25,109.5,,9.0,9.0,nba_combine_2026,True,2026-05-09T00:00:00Z
Christopher Cenac Jr.,PF,82.25,83.5,239.6,89.0,108.5,,9.25,9.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Rueben Chinyelu,C,81.25,82.5,259.4,91.5,111.5,,10.0,10.25,nba_combine_2026,True,2026-05-09T00:00:00Z
Jacob Cofie,PF,80.5,81.75,232.0,84.0,107.0,,8.5,9.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Ryan Conwell,SG,74.0,75.25,214.8,79.0,96.5,,8.5,9.0,nba_combine_2026,True,2026-05-09T00:00:00Z
Sergio De Larrea,PG,,,,,,,,,nba_combine_2026,True,2026-05-09T00:00:00Z
AJ Dybantsa,SF,80.5,81.75,217.0,84.5,106.0,,8.5,9.0,nba_combine_2026,True,2026-05-09T00:00:00Z
Zuby Ejiofor,C,79.5,80.75,245.2,86.0,107.0,,9.25,9.75,nba_combine_2026,True,2026-05-09T00:00:00Z
Isaiah Evans,SG,77.5,78.75,186.0,80.75,104.5,,8.5,9.0,nba_combine_2026,True,2026-05-09T00:00:00Z
Jeremy Fears Jr.,PG,72.0,73.25,196.2,76.0,97.5,,8.0,9.0,nba_combine_2026,True,2026-05-09T00:00:00Z
Kingston Flemings,PG,74.5,75.75,183.4,75.5,98.5,,8.5,9.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Ja'Kobi Gillespie,PG,71.75,73.0,181.8,76.0,95.5,,8.0,9.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Allen Graves,PF,79.75,81.0,225.6,84.0,106.5,,9.0,9.5,nba_combine_2026,True,2026-05-09T00:00:00Z
Keyshawn Hall,SF,78.0,79.25,227.4,82.25,105.0,,9.5,9.75,nba_combine_2026,True,2026-05-09T00:00:00Z
Jaden Harris,SF,,,,,,,,,nba_combine_2026,True,2026-05-09T00:00:00Z
Bryce Hopkins,PF,78.0,79.25,218.8,82.5,105.0,,9.25,10.0,nba_combine_2026,True,2026-05-09T00:00:00Z
Joshua Jefferson,PF,79.75,81.0,246.2,82.75,104.5,,9.0,10.0,nba_combine_2026,True,2026-05-09T00:00:00Z
Morez Johnson,PF,81.0,82.25,250.6,87.5,107.0,,9.5,10.0,nba_combine_2026,True,2026-05-09T00:00:00Z
